"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"SY000040001","KAMISHLI, SY","2021-05-01","78",,
"SY000040001","KAMISHLI, SY","2021-05-03","81","94",
"SY000040001","KAMISHLI, SY","2021-05-04","86","96","57"
"SY000040001","KAMISHLI, SY","2021-05-05","78","90","61"
"SY000040001","KAMISHLI, SY","2021-05-06","79","94","66"
"SY000040001","KAMISHLI, SY","2021-05-07","76","87",
"SY000040001","KAMISHLI, SY","2021-05-08","81","95",
"SY000040001","KAMISHLI, SY","2021-05-09","81",,"66"
"SY000040001","KAMISHLI, SY","2021-05-10","80",,
"SY000040001","KAMISHLI, SY","2021-05-11","79","91","55"
"SY000040001","KAMISHLI, SY","2021-05-12","84","99","58"
"SY000040001","KAMISHLI, SY","2021-05-13","90","99",
"SY000040001","KAMISHLI, SY","2021-05-14","86",,"67"
"SY000040001","KAMISHLI, SY","2021-05-15","84","101","64"
"SY000040001","KAMISHLI, SY","2021-05-16","87","101",
"SY000040001","KAMISHLI, SY","2021-05-17","82","93","65"
"SY000040001","KAMISHLI, SY","2021-05-18","84","97","59"
"SY000040001","KAMISHLI, SY","2021-05-19","85","97",
"SY000040001","KAMISHLI, SY","2021-05-20","87",,"61"
"SY000040001","KAMISHLI, SY","2021-05-21","94","108","70"
"SY000040001","KAMISHLI, SY","2021-05-22","90","100","64"
"SY000040001","KAMISHLI, SY","2021-05-23","74","88",
"SY000040001","KAMISHLI, SY","2021-05-24","79","90","57"
"SY000040001","KAMISHLI, SY","2021-05-25","89","99",
"SY000040001","KAMISHLI, SY","2021-05-26","85","99","61"
"SY000040001","KAMISHLI, SY","2021-05-27","90","102","63"
"SY000040001","KAMISHLI, SY","2021-05-28","91","102","64"
"SY000040001","KAMISHLI, SY","2021-05-29","85","97","64"
"SY000040001","KAMISHLI, SY","2021-05-30","85","94","59"
"SY000040001","KAMISHLI, SY","2021-05-31","89","102","66"
"SY000040001","KAMISHLI, SY","2021-06-01","86","96","70"
"SY000040001","KAMISHLI, SY","2021-06-02","82",,"63"
"SY000040001","KAMISHLI, SY","2021-06-03","83","95","64"
"SY000040001","KAMISHLI, SY","2021-06-04","82","95","64"
"SY000040001","KAMISHLI, SY","2021-06-05","84","98",
"SY000040001","KAMISHLI, SY","2021-06-06","82","94","63"
"SY000040001","KAMISHLI, SY","2021-06-07","82","94","68"
"SY000040001","KAMISHLI, SY","2021-06-08","87",,
"SY000040001","KAMISHLI, SY","2021-06-09","83","99","64"
"SY000040001","KAMISHLI, SY","2021-06-10","83","96","65"
"SY000040001","KAMISHLI, SY","2021-06-11","84","96","61"
"SY000040001","KAMISHLI, SY","2021-06-12","80",,
"SY000040001","KAMISHLI, SY","2021-06-13","82","97",
"SY000040001","KAMISHLI, SY","2021-06-14","90","100","68"
"SY000040001","KAMISHLI, SY","2021-06-15","88",,"69"
"SY000040001","KAMISHLI, SY","2021-06-16","86","99",
"SY000040001","KAMISHLI, SY","2021-06-17","83","100","63"
"SY000040001","KAMISHLI, SY","2021-06-18","90","106","66"
"SY000040001","KAMISHLI, SY","2021-06-19","94","108","68"
"SY000040001","KAMISHLI, SY","2021-06-20","91",,"68"
"SY000040001","KAMISHLI, SY","2021-06-21","92","106","70"
"SY000040001","KAMISHLI, SY","2021-06-22","93",,"75"
"SY000040001","KAMISHLI, SY","2021-06-23","88","99",
"SY000040001","KAMISHLI, SY","2021-06-24","92","103","68"
"SY000040001","KAMISHLI, SY","2021-06-25","92","104",
"SY000040001","KAMISHLI, SY","2021-06-26","95",,
"SY000040001","KAMISHLI, SY","2021-06-27","97",,"72"
"SY000040001","KAMISHLI, SY","2021-06-28","101","111","82"
"SY000040001","KAMISHLI, SY","2021-06-29","94","109","80"
"SY000040001","KAMISHLI, SY","2021-06-30","100","109",
